Origin State,Destination State,Intermodal,Truckload
AR,CA,1.5518458817441942,
AZ,IL,1.0861384870285846,
CA,AR,2.11791918885014,
CA,CO,3.1879449360865295,2.6170911441470595
CA,FL,1.6516155141797737,2.038636310494681
CA,GA,1.2656225740336042,1.7966612554128787
CA,IL,1.1781539969404107,1.5660160795073532
CA,MA,1.6194188019072737,2.0295435333923075
CA,MN,1.7661155044955665,
CA,MO,1.6472309253388688,1.7492307692307694
CA,NJ,1.3986553200748282,1.915579357351265
CA,OH,1.8244323345829248,
CA,TN,1.4432088394751441,
CA,TX,1.6773667017726752,1.9527309727296294
CA,WA,2.4770350661698375,2.639110105578433
CO,CA,1.2020567594732443,1.1903330003333332
CO,IL,0.9646057973370225,1.2813202973529412
CO,PA,1.5199963974930644,
CT,TX,1.4415946028921989,
FL,CA,1.0079009023694738,1.288532306303797
FL,IL,0.9694397191211305,1.34503579589109
FL,MA,2.596815897259481,1.9918248418181819
FL,NJ,2.028615274631293,1.738900260045801
FL,TX,1.7890380194381865,1.6571016483593755
GA,CA,0.9082243219716823,1.5228300013313254
GA,FL,3.7598693568862496,3.0805269730303024
GA,IL,1.3639507493923153,1.6182161172111111
GA,NJ,1.8011362192130511,2.4141296703199995
GA,PA,,2.523380893290322
GA,TX,1.7331961171523445,1.9120173855970155
GA,WA,0.9911861155907578,1.7781189398823527
IL,AZ,1.4000597293047912,
IL,CA,1.0285951261674307,1.5753923076999998
IL,CO,1.8598424858869793,2.533506787323528
IL,FL,1.9661776040276517,2.5772570566666655
IL,GA,1.9361142725370355,2.2104329004393937
IL,MA,2.7904960171257045,2.8833839689705876
IL,NJ,1.9627861886061961,2.7088154492499994
IL,OR,1.055313641513673,1.8200033300000003
IL,PA,2.4633767254431547,3.0167647058823523
IL,TX,1.7431832801814002,2.0739783566649748
IL,UT,1.7076773595328278,2.1754977375588234
IL,WA,1.2386928623755307,1.7599860587164182
MA,CA,0.8318571867048767,1.4970870781071433
MA,FL,2.277712832704136,2.0945329670384614
MA,IL,1.0535243972999346,1.3428851540588238
MA,TX,1.1151883832366998,
MD,IL,1.2499842813069422,1.5984716117333337
MN,CA,1.488457544366643,
MO,CA,1.4192369687708597,1.8194913334123717
MO,OR,1.9027527659289083,
NC,CA,1.1392535946013536,1.4711398770847457
NC,FL,2.756837837837838,2.7557789269411757
NC,IL,1.6040381032484732,1.7819130869090907
NJ,CA,0.7527074286786135,1.412271740611111
NJ,CO,1.2572398438935182,1.8613647642580642
NJ,FL,1.999948833286676,2.106742180892308
NJ,GA,1.1753667390617715,1.6550495582941176
NJ,IL,1.1092321746786336,1.409933204058824
NJ,MO,1.0914204662381264,1.6383419521764704
NJ,TX,1.1885654296234205,1.5944139194215685
NJ,WA,0.9083781762819556,1.8032589285624998
NV,TX,2.2561020709763318,
NY,FL,2.386748857379734,2.421590174529412
NY,IL,1.3312866233545275,1.685240384625
OH,CA,1.4176998679131174,1.636194849940299
OH,TX,1.7852107523368563,
OR,CA,1.2214712016835898,1.557226890764706
OR,IL,0.8252330863485696,1.4781684981818182
PA,IL,1.2615630903425912,1.5699514938281252
PA,TX,1.287871989277233,
SC,IL,,1.93859890109375
TN,CA,1.143433803158751,
TX,CA,1.1303175674691786,1.4787011150625002
TX,GA,1.8302617428714532,1.5825226244411768
TX,IL,1.425349497514155,1.5582207177748029
TX,MA,1.4745179525894183,
TX,NC,2.281112445746699,
TX,NJ,1.602144868762336,1.9694182288308824
TX,NV,1.977908067909944,
TX,OH,1.8499323317692233,
TX,PA,1.8191178708944558,
TX,WA,1.4291027448230125,1.9277406214482757
UT,CA,1.2482626520468865,1.3602617970294115
UT,IL,1.1130861401875587,1.5960206460303032
WA,CA,1.0842635735087047,1.3347551713039212
WA,GA,1.0869975798216711,1.616499500490909
WA,IL,0.9151497714767346,1.512268699048387
WA,NJ,1.1717128476833312,1.8773509823484844
WA,TX,1.4999403721078521,1.6456339183134332
